scenario,node,m_kl,argmax_t,git_sha,seed,m,p_pos,p_neg
scenario1,UnstablePS,0.24841401940597022,137,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario1,CorrReact,0.4361438906364718,129,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario1,MITM,0.4545018755701605,35,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario2,UnstablePS,0.0008348929810625171,31,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario2,CorrReact,1.1546735441282005e-05,31,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario2,MITM,7.951959473878712e-08,33,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario1,__FF_perf__,0.18464985565027747,202379197,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario1,__EX_perf__,0.3413391628947284,203565489,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario2,__FF_perf__,0.01576669355054037,6959928,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario2,__EX_perf__,0.10787885913523496,136917651,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
