m,node,m_kl,argmax_t,git_sha,seed,p_pos,p_neg
0.3333333333333333,UnstablePS,0.04567552826803391,34,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,0.0001,0.0001
0.3333333333333333,CorrReact,0.060770660934477014,34,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,0.0001,0.0001
0.3333333333333333,MITM,0.035766751058122936,10,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,0.0001,0.0001
1.0,UnstablePS,0.14348780538828151,128,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,0.0001,0.0001
1.0,CorrReact,0.23731227833300522,115,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,0.0001,0.0001
1.0,MITM,0.4545018755702141,35,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,0.0001,0.0001
0.3333333333333333,__FF_perf__,0.22388758407603304,204633081,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,0.0001,0.0001
0.3333333333333333,__EX_perf__,0.26813961031812755,204067636,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,0.0001,0.0001
1.0,__FF_perf__,0.2665308902883079,205698060,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,0.0001,0.0001
1.0,__EX_perf__,0.4901475988459016,206002196,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,0.0001,0.0001
