system,knowledge_level,threshold,n_runs,n_detected_before,n_detected_after,n_missed,n_false_alarm,n_no_event,detection_rate,false_alarm_rate,n_lead_defined,lead_median_slices,lead_p10_slices,lead_p90_slices,lead_mean_slices,git_sha,source_file,ablation_axis
dbn_hard_evidence,blind,0.05,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.07,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.09,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.11,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.13,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.15,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.17,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.19,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.21,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.23,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.25,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.27,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
