scenario,node,m_kl,argmax_t,git_sha,seed,m,p_pos,p_neg,source_file,ablation_axis
scenario1,UnstablePS,0.0273418484551595,24,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001,exp01_summary_20260731T164052Z.csv,ex_vs_ff
scenario1,CorrReact,0.0352798430709059,24,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001,exp01_summary_20260731T164052Z.csv,ex_vs_ff
scenario1,MITM,0.0075065085681633,7,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001,exp01_summary_20260731T164052Z.csv,ex_vs_ff
scenario2,UnstablePS,1.6124827554384655e-16,22,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001,exp01_summary_20260731T164052Z.csv,ex_vs_ff
scenario2,CorrReact,2.0759459692807496e-11,32,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001,exp01_summary_20260731T164052Z.csv,ex_vs_ff
scenario2,MITM,5.64874985820035e-10,33,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001,exp01_summary_20260731T164052Z.csv,ex_vs_ff
scenario1,__FF_perf__,0.1991146494087402,203918929,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001,exp01_summary_20260731T164052Z.csv,ex_vs_ff
scenario1,__EX_perf__,0.2377101225771849,203943968,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001,exp01_summary_20260731T164052Z.csv,ex_vs_ff
scenario2,__FF_perf__,0.0157830639985545,7612664,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001,exp01_summary_20260731T164052Z.csv,ex_vs_ff
scenario2,__EX_perf__,0.0357644617949097,10182733,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001,exp01_summary_20260731T164052Z.csv,ex_vs_ff
