bus,heuristic_label,gnn_cluster,git_sha,source_file,ablation_axis
0,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
1,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
2,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
3,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
4,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
5,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
6,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
7,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
8,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
9,DER_17,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
10,DER_17,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
11,DER_17,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
12,DER_17,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
13,DER_17,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
14,DER_17,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
15,DER_17,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
16,DER_17,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
17,DER_17,1,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
18,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
19,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
20,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
21,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
22,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
23,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
24,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
25,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
26,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
27,unassigned,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
28,DER_32,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
29,DER_32,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
30,DER_32,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
31,DER_32,0,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
32,DER_32,1,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_cluster_assignment_20260813T104934Z.csv,gnn_cluster_vs_heuristic
