scenario,m_kl,argmax_slice,git_sha,source_file,ablation_axis
0,10.053023869426465,26,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
1,10.053023871646634,138,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
2,0.0,9,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
3,0.448725683099637,80,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
4,2.8772358733483933e-06,96,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
5,2.795015662726205e-06,34,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
6,0.4536434157651657,85,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
7,0.0,5,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
8,0.4536430384289979,199,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
9,0.0,6,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
10,0.4536449642977654,66,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
11,0.4536514809843029,53,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
12,2.814267396640817e-06,39,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
13,0.4539303412083529,27,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
14,0.4922233110765539,267,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
15,10.053023864468532,110,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
16,10.053023864484876,16,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
17,10.053023871646634,55,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
18,0.0,7,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
19,2.846438371198099e-06,40,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
20,10.053023864468532,88,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
21,0.0,6,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
22,0.0,7,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
23,10.053023868572948,22,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
24,10.053023889309452,81,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
25,0.0,6,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
26,2.87725859979813e-06,158,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
27,0.4539724878653156,31,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
28,0.0,6,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
29,0.4487256830998177,66,976bac8745d968f1c38cbc1c456a0f5ae2277d0f-dirty,exp12_posterior_kl_20260813T104934Z.csv,gnn_cluster_vs_heuristic
