arm,threshold,n_runs,n_detected_before,n_detected_after,n_missed,n_false_alarm,n_no_event,detection_rate,false_alarm_rate,n_lead_defined,lead_median_slices,lead_p10_slices,lead_p90_slices,lead_mean_slices,git_sha,seed,source_file,ablation_axis
open_loop,0.05,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.07,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.09,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.11,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.13,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.15,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.17,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.19,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.21,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.23,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.25,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.27,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.29,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.31,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.33,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.35,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.37,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.39,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.41,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.43,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.45,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.47,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.49,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.51,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.53,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.55,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.57,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.59,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.61,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.63,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.65,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.67,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.69,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.71,30,14,16,0,0,0,1.0,,30,0.0,-135.0,118.0,12.0,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.73,30,14,16,0,0,0,1.0,,30,0.0,-135.0,118.0,12.0,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.75,30,14,16,0,0,0,1.0,,30,0.0,-135.0,118.0,12.0,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.77,30,14,16,0,0,0,1.0,,30,0.0,-135.0,118.0,12.0,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.79,30,14,16,0,0,0,1.0,,30,-1.0,-135.0,118.0,11.766666666666667,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.81,30,13,17,0,0,0,1.0,,30,-3.0,-135.0,118.0,5.7,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.83,30,13,17,0,0,0,1.0,,30,-3.0,-135.0,118.0,5.7,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.85,30,13,17,0,0,0,1.0,,30,-3.0,-135.0,118.0,5.7,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.87,30,13,17,0,0,0,1.0,,30,-3.0,-135.0,118.0,5.7,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.89,30,13,17,0,0,0,1.0,,30,-3.0,-135.0,118.0,5.7,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.91,30,13,17,0,0,0,1.0,,30,-3.0,-135.0,118.0,5.7,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.93,30,13,17,0,0,0,1.0,,30,-3.0,-135.0,118.0,5.7,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.95,30,12,18,0,0,0,1.0,,30,-28.0,-232.0,118.0,-29.966666666666665,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.97,30,12,18,0,0,0,1.0,,30,-28.0,-232.0,118.0,-29.966666666666665,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
open_loop,0.99,30,11,19,0,0,0,1.0,,30,-28.0,-232.0,117.0,-30.266666666666666,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.05,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.07,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.09,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.11,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.13,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.15,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.17,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.19,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.21,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.23,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.25,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.27,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.29,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.31,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.33,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.35,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.37,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.39,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.41,30,23,7,0,0,0,1.0,,30,3.0,0.0,118.0,46.6,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
